Smiles,gcnscore
O=C(Nc1ccc(N2CCN(C(=O)c3cccc(F)c3)CC2)c(C(=O)N2CCCCC2)c1)C1CCCC1,-7.325725555419922
CN1CCCCC[C@@H](O)c2cc(C(=O)N3CCCCCC3)ccc21,-6.812491416931152
CC(=O)N[C@@H]1CN(C(=O)Cc2ccccc2)C[C@H]1CO,-7.929251670837402
O=C(NCc1ccc(F)cc1)N1CCC(Cc2ccc(CN3CCOCC3)cc2)CC1,-8.188069343566895
O=C(CCC1CCCC1)N1CCC[C@](F)(C(=O)NCc2ccncc2)C1,-6.723264694213867
CSc1ccc(CCNC(=O)C2=Cc3sc(C)c(C)c3CS2)cc1,-8.186081886291504
CC1CCN(C(=O)c2oc3ccccc3c2NC(=O)C2CCCCC2)CC1,-6.647365093231201
CN(C[C@@]1(O)CCOC2(CC[NH2+]CC2)C1)C(=O)c1ccc(F)cc1F,-7.228586673736572
C[N@@H+]1CC2(CCN(C(=O)NC(C)(C)C)CC2)C[C@@H]1C(=O)N1CCOCC1,-5.975190162658691
O=C([O-])CC[C@H]1NC(=O)N(Cc2ccc3c(c2)OCO3)C1=O,-7.897237300872803
CCCNC(=O)N1CC[C@@H](Cc2nc3cccnc3n2C)C1,-7.535866737365723
O=C(NCCn1cc(SCC(=O)N2CCCCC2)c2ccccc21)c1cccc(C(F)(F)F)c1,-7.584155082702637
Cc1ccc(CNC(=O)CCCC(=O)c2ccccc2)cc1,-9.380480766296387
CC(C)=CCC/C(C)=C/CNC(=O)c1cc(-c2ccc(Cl)cc2)on1,-7.867012977600098
O=C(NC1CCCC1)c1ccc2c(c1)N(Cc1ccc(F)cc1)CCS2,-7.378418445587158
CC1CCN(C(=O)c2ccccc2N2CCC(NC(=O)c3ccccc3F)CC2)CC1,-6.7549848556518555
C[C@H]1CCCC[N@H+]1CCNC(=O)c1ccc(CN2C(=O)CSc3ncccc32)cc1,-8.27608871459961
CCC(=O)N1CCc2oc(C)c(C(=O)NCC[NH+](C)C)c2C1,-6.21258544921875
C[N@H+](CCNc1nc(-c2ccccc2)no1)C1CCCCC1,-6.871739387512207
COCCNC(=O)c1ccc(NC(=O)N2CCSc3[nH+]c(C)cc(C)c32)cc1,-7.407196044921875
CCc1ccc(C(=O)N2CCC([C@@H]3CC[NH2+]C3)CC2)cc1,-7.714444160461426
C[N@@H+](CCCNC(=O)CC1CCN(C(=O)C2CCCCC2)CC1)C1CCCCC1,-7.424578666687012
O=C(CCCn1c(=O)c2cccn2c2ccc(F)cc21)NCCC[NH+]1CCCCC1,-7.840853214263916
Cc1cc(N2CCCCC2)nc(Nc2ccc(NC(=O)C3CCCCC3)cc2)n1,-6.150020599365234
CNC(=O)c1nn(C)cc1NC(=O)C1CCCC1,-6.285663604736328
CCc1nc(-c2ccc(N3CCN(C(=O)c4cc5ccccc5[nH]4)CC3)cc2)no1,-7.8140459060668945
C[C@]1(O)CCC12CCN(C(=O)c1ccc(OC(F)(F)F)cc1)CC2,-6.263036727905273
COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1CNC(=O)NC1CCCCC1,-7.21870756149292
CCc1cccc(NC(=O)CN2C(=O)[C@H](C(=O)N3CCCCC3)Sc3ccccc32)c1,-6.85746955871582
Cc1ccc(Nc2ccc(N3CCN(C(=O)c4cccc(C)c4)CC3)nn2)cc1,-8.544952392578125
O=C(c1cccc(Cl)c1)N1CCC2(CC1)NC(=O)N(Cc1ccc(Cl)cc1)C2=O,-7.574633598327637
CCNC(=O)N(CC(=O)N1CCCN(c2ccc(-c3ccccc3Cl)nn2)CC1)Cc1ccccc1,-7.608582496643066
CCCN(C[C@H]1CCOC1)C(=O)NC1CCCCC1,-6.623437404632568
CCCOc1ccc(N2C(=O)C[C@@H](Nc3ccc(C(=O)[O-])cc3)C2=O)cc1,-7.428983688354492
O=C(CCc1nc(C2=CC[N@H+](Cc3ccc(Cl)cc3)CC2)no1)NCc1ccc(F)cc1,-9.533123970031738
O=C(c1ccncc1)N1CCC([C@@H]2CCN(C(=O)c3ccn[nH]3)C2)CC1,-7.008786201477051
Cc1nc(CCNC(=O)COc2ccc(C(C)(C)C)cc2)cs1,-8.047564506530762
CCC(=O)N1CCCc2ccc(NC(=O)C(C)(C)C)cc21,-6.2328901290893555
O=C(C[C@@H]1CCc2nnc(C3CCCC3)n2CC1)NCC[NH+]1CCCCC1,-8.4873628616333
CC[C@@]1(C)C[C@@](CC(=O)[O-])(c2ccc(F)cc2)CCO1,-6.076515197753906
O=C(CCc1ccc2c(c1)CN(C(=O)C1CC1)CCO2)NC[C@H]1CCCO1,-9.583290100097656
O=C(Cc1c[nH]c2ccccc12)N1CCC2(CC1)C[C@@H](CCOCC1CC1)CCO2,-8.17268180847168
O=C(NC1CC1)[C@@H]1CC(=O)N(c2ccc3c(c2)CCN3C(=O)C2CCC2)C1,-7.992945671081543
Cc1noc(C)c1CNC(=O)CCc1c(C)nn(C)c1C,-6.592559337615967
COc1ccc(N2C(=O)CC[C@H](C(=O)NCCC[NH+]3CCCC3)[C@@H]2c2ccc(F)cc2)cc1,-8.09650707244873
CCNc1nc(C)cc(Nc2ccc(NC(=O)Nc3ccc(C)cc3)cc2)n1,-7.729082107543945
CCN1C(=O)Cc2cc(C(=O)NCCC3=CCCCC3)ccc21,-7.644609451293945
CNC(=O)[C@@H]1C[C@H](Oc2ccccc2)C[N@@H+]1C1CCN(C(=O)c2cc(C3CC3)[nH]n2)CC1,-7.857612609863281
O=C(CCN1C(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1=O)Nc1ccc(F)cc1,-7.834847927093506
CC(C)NC(=O)N1CCCCC[C@H]1C[NH+]1CCCC1,-6.475409507751465
CCNC(=O)N1CCC[C@H](c2cccc(C(=O)N[C@@H](C)c3ccc(OCC)cc3)c2)C1,-7.775005340576172
Cc1ccc(Cl)cc1NC(=O)N1CCc2nc(N3CCCCC3)ncc2C1,-7.4414215087890625
c1cc(C[NH+]2CCC(Cc3ccc(CN4CCOCC4)cc3)CC2)c2cc[nH]c2c1,-8.34157657623291
O=C(Cn1ccc2c(SCc3ccc(F)cc3)[nH+]ccc21)NCCC1=CCCCC1,-8.833619117736816
CCCn1c(=O)c(-c2ccc(C(=O)NCCC[NH+]3CCCCCC3)cc2)nc2ccccc21,-6.85943078994751
COc1ccc2c(c1)C[C@@H](NC(=O)N1CC[NH+](C3CCCCC3)CC1)CO2,-8.234816551208496
O=C([O-])CC[NH+](CCC(=O)[O-])c1ccccc1O,-7.390966415405273
CC[C@H](C)NC(=O)CCC(=O)N1CCc2c(c(C(=O)N3CCCCC3)nn2C)C1,-7.119142055511475
CC[C@@H]1CCCC[N@@H+]1CCCNC(=O)Nc1ccc2c(c1)N(Cc1ccc(C)cc1)C(=O)CS2,-7.894474029541016
Cc1cccc(-c2cc(Nc3ccc(C(=O)N4CCCC4)cc3)ncn2)c1,-6.756019592285156
Cc1ccc(NC(=O)CN2C([O-])=C(C(=O)N3CCCCC3)Sc3ccccc32)cc1F,-6.8708014488220215
Cc1ncccc1C(=O)N1CCC2(CC1)C[C@@H]2NC(=O)C(C)C,-7.347618103027344
NC(=O)COC[C@@H]1CN(C(=O)C2CCCCCC2)C[C@H]1c1ccccn1,-7.154445171356201
O=C1CC[C@@]2(C(=O)NCc3ccc4c(c3)OCO4)CCCC=C2N1C1CCCC1,-8.658795356750488
O=C(CCC1CCCC1)NC[C@]12CCC=C1N(CC1CC1)C(=O)CC2,-7.81063175201416
COc1ccc2c(Sc3ccc(Cl)cc3)c(C(=O)NCCCN3CCOCC3)[nH]c2c1,-7.656152725219727
O=C(NCCCc1nc2ccccc2[nH]1)[C@H]1CCCN(c2ncccn2)C1,-7.266280174255371
CC(C)c1nc(NCCCO)c(C#N)c2c1COC(C)(C)C2,-5.363785743713379
O=C(c1cc(C2CC2)n[nH]1)N1CC2(C[C@H]([NH+]3CCCC3)CO2)C1,-7.801458835601807
Cc1ccc(N2C(=O)[C@H]3[C@@H](C2=O)[C@H](c2ccccc2F)N[C@]3(Cc2ccccc2)C(=O)[O-])cc1,-7.476139068603516
CC1CCN(C(=O)c2cnn3ccc(C4CCN(C(=O)NCc5ccccc5)CC4)cc23)CC1,-7.385909080505371
N#Cc1ccccc1N1C(=O)[C@@H]2[C@H]3C=C[C@](CO)(O3)[C@@H]2C1=O,-8.32922649383545
CC(=O)N1CC[C@@]2(CO)CN(C(=O)CCCc3ccccc3)C[C@H]2C1,-7.145878314971924
CC(C)CNC(=O)c1ccc2c(c1)CC(=O)N2Cc1cccc(F)c1,-7.458850383758545
O=C(Nc1c(C2CC2)n[nH]c1-c1cccc(F)c1)c1ccccc1F,-8.448360443115234
Cc1cc(C)c([C@H]2C(=O)C(=O)[C@H]2[N-]/C=C/C2=CCCCC2)cc1C,-7.163618087768555
COCC(=O)N[C@@H]1C[N@H+](Cc2ccc(C)cc2C)C[C@H]1CO,-8.004020690917969
CC(C)NC(=O)N1CC=C(C(=O)NC2CCCC2)CC1,-6.67561149597168
O=C(NCc1cnn(-c2ccc(C(=O)N3CCC([NH+]4CCCCC4)CC3)cc2)c1)C1CC1,-7.83336067199707
CC(C)CCNC(=O)c1ccc2c(SCC(=O)[O-])c3c(nc2c1)CCCC3,-7.750387668609619
NC(=O)C1CCN(C(=O)CN2C(=O)c3cccnc3Oc3ccc(Cl)cc32)CC1,-7.548610687255859
COc1ccc(CNC(=O)c2ccc(N3CCCC3)c(NC(=O)Nc3cccc(C)c3)c2)cc1,-7.738665580749512
COc1cccc(-c2c[nH]c(-c3ccc(CNC(=O)c4ccc(C(F)(F)F)c(F)c4)cc3)n2)c1,-9.779767036437988
COCCCN(CCC(=O)N1CC[NH2+]CC1)C(=O)c1ccc(F)c(F)c1,-7.8138427734375
O=C([C@H]1C[C@H](Oc2cccnc2)CN1C(=O)NC1CCCCC1)N1CCOCC1,-7.369448184967041
COc1ccc(CCC(=O)N2CCC(C(=O)[O-])CC2)cc1OC,-7.775701522827148
