rmse,mae,r2,type,split,model,seed
0.22340729849448335,0.17577545,0.9698404566906389,tr,random,gcn,0
0.876600572707807,0.7275406,0.24037208945473898,va,random,gcn,0
1.7909314916853063,1.4579101,-1.0555194153356453,te,random,gcn,0
0.031384899618418394,0.023447385,0.9994047881672877,tr,random,gcn,1
2.1820698506252754,1.6666563,-3.7068968067251538,va,random,gcn,1
1.8494842068012571,1.4771416,-1.1921227830724366,te,random,gcn,1
0.2947413542557735,0.2703038,0.9475056841459188,tr,random,gcn,2
1.6706517102596246,1.2231992,-1.7591111600319747,va,random,gcn,2
1.4420472247344251,1.1019056,-0.33266999518881546,te,random,gcn,2
0.26263092272914595,0.24984837,0.9583205660062214,tr,random,gcn,3
1.7077899704517705,1.3011055,-1.8831434284706852,va,random,gcn,3
1.714476526517423,1.3739626,-0.8837650108381132,te,random,gcn,3
0.13993019410476615,0.1191032,0.9881681414657271,tr,random,gcn,4
1.7614582825007807,1.2027503,-2.0671996377969917,va,random,gcn,4
63.36911338538673,16.454134,-2572.468712364088,te,random,gcn,4
0.1438592612149147,0.13140935,0.9874943646787823,tr,random,gcn,5
2.13737430314467,1.5355788,-3.5160476853361926,va,random,gcn,5
1.5847575491421355,1.2686367,-0.6094935337096239,te,random,gcn,5
0.05026638152291648,0.03402024,0.9984731890457896,tr,random,gcn,6
2.14837657495291,1.4954498,-3.562660947763689,va,random,gcn,6
1.653177542473426,1.2979541,-0.7514696905176761,te,random,gcn,6
4.402618210097469,4.061114,-10.712567739257379,tr,random,gcn,7
4.6198320125407895,4.3342614,-20.09841182511955,va,random,gcn,7
4.494297865363655,4.203152,-11.944562174916483,te,random,gcn,7
5.451159278693795,5.129282,-16.955925061928646,tr,random,gcn,8
5.504930886814431,5.248583,-28.95719248581167,va,random,gcn,8
5.737429270588855,5.442658,-20.095910160749014,te,random,gcn,8
0.1449733365141896,0.11757167,0.9872999227844984,tr,random,gcn,9
1.5902702640465145,1.2926064,-1.499995805007123,va,random,gcn,9
5.582159554760129,2.8101504,-18.9695423538473,te,random,gcn,9
