Smiles,gcnscore
O=C(CSc1nc[nH]n1)Nc1ccc(C(=O)Nc2ccc(F)cc2F)cc1,-7.729201316833496
O=C1NCC[N@H+]2CC3(CCN(C(=O)COc4ccc(F)cc4)CC3)C[C@H]12,-8.111242294311523
CC[C@@H](C)NC(=O)Cn1nc(-c2ccc(Cl)cc2)ccc1=O,-8.124895095825195
O=C(NCc1ccccc1)C1(F)CC[NH+](C2CCCC2)CC1,-6.526313304901123
CCC[C@@H](C)NC(=O)[C@@H]1CC(=O)N(CCc2ccc(F)cc2)C1,-8.190200805664062
Cc1noc(C)c1C[NH+]1CCN(C(=O)c2n[nH]c3c2CCCC3)CC1,-6.34025764465332
COC(=O)CCNC(=O)N1Cc2c(sc3c2CCCC3)-n2cccc2[C@H]1C(C)C,-7.26426362991333
CCOC(=O)c1[nH]c(C)c(CN(C(=O)CC2CCCC2)C2CCCCC2)c1C,-6.057678699493408
CCOC(=O)[C@H]1CC[C@H](CNC(=O)N2Cc3ccccc3-n3cccc3[C@H]2C)CC1,-7.816202640533447
c1cncc(Cn2c3c(c4ccccc42)C[NH2+]CC3)c1,-6.794134140014648
CNC(=O)[C@H]1C[N@H+](C)C[C@@H]1NC(=O)c1cccc(Cl)c1,-8.408363342285156
CC1CC[NH+](CCCNC(=O)c2ccc(-c3nc(-c4ccc(F)cc4)no3)cc2)CC1,-9.04979133605957
CN1C(=O)C(CC(=O)NC2CCCC2)=C2CCCC[C@@H]21,-9.335956573486328
CCC(=O)NCc1nc2cccnc2n1CCOC,-6.523683547973633
Cc1ccccc1Cn1cc(CCC(=O)NCC[NH+]2CCOCC2)c2ccccc21,-8.890680313110352
CC[C@@H](C)NC(=O)CC1CCN(C(=O)c2ccc3oc(C4CC4)nc3c2)CC1,-7.914235591888428
CCCCN1C[C@@H](C(=O)Nc2cccc(NC(C)=O)c2)CC1=O,-7.633604526519775
CC[C@]1(C(N)=O)CCC[N@H+](Cc2ccc(Br)cc2F)C1,-7.492944240570068
CCn1c(SCC(=O)NC2CCCCC2)nc2ccccc21,-6.7491230964660645
O=C(NCCc1csc(-c2ccc(F)cc2)n1)C1CCCC1,-8.03429889678955
OC[C@@]12CC[N@@H+](Cc3cccc(Cl)c3)C[C@@H]1C[N@@H+](Cc1ccccc1)C2,-9.01047134399414
O=C(Nc1cccc(C(=O)N2CCCC2)c1)C1=CSCCO1,-8.061083793640137
CC(=O)N1CCC2(CC1)C[C@H](CC(=O)Nc1ccc(C)cc1)CCO2,-8.736351013183594
