seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,0.5805430491812534,0.8104148110750138,0.4331622
0,ECFP4,random,va,0.8925243336435049,0.3741467508508307,0.6847338
0,ECFP4,random,te,1.1375818286010486,0.21392858671664294,0.85338235
0,ECFP4,random,tr,0.5805430491812534,0.8104148110750138,0.4331622
0,ECFP4,random,va,0.8925243336435049,0.3741467508508307,0.6847338
0,ECFP4,random,te,1.1375818286010486,0.21392858671664294,0.85338235
1,ECFP4,random,tr,1.194047095991349,0.1690344328384723,0.90558
1,ECFP4,random,va,1.6031524953287535,-0.5313521620803672,1.2096901
1,ECFP4,random,te,1.7991603084850587,-0.8697139898136719,1.3911381
2,ECFP4,random,tr,3.7833562612188927,-7.330329749471813,3.6560795
2,ECFP4,random,va,3.911947017505917,-7.730773834164351,3.6712863
2,ECFP4,random,te,4.030805696354958,-8.900565842254379,3.780902
3,ECFP4,random,tr,1.687778591189015,-0.6833396753212662,1.4778736
3,ECFP4,random,va,2.0725335640944627,-1.5648107644664995,1.7251142
3,ECFP4,random,te,2.0301261727345126,-1.1651029701155613,1.6685884
4,ECFP4,random,tr,4.001892357472387,-8.243540788585504,3.8642516
4,ECFP4,random,va,4.0165841111263845,-9.716155171761237,3.7836592
4,ECFP4,random,te,4.0948699118197345,-8.449424803730855,3.8508275
5,ECFP4,random,tr,1.8955032214935064,-1.2224727432057119,1.6862537
5,ECFP4,random,va,2.302608056199238,-1.3535107171001681,1.955668
5,ECFP4,random,te,2.354395582384067,-1.8568213533293338,1.9684159
6,ECFP4,random,tr,3.099911651582933,-4.666933289811556,2.9260116
6,ECFP4,random,va,3.2631628072083156,-4.39398128488737,2.9655566
6,ECFP4,random,te,3.2203461476381556,-5.457109122351727,2.9672167
7,ECFP4,random,tr,4.656091879393648,-11.83751688753324,4.527041
7,ECFP4,random,va,4.683950479012748,-10.102082156361552,4.4495907
7,ECFP4,random,te,4.5359527387898515,-11.541866249577783,4.3278766
8,ECFP4,random,tr,2.097741151934919,-1.614298986580501,1.8855798
8,ECFP4,random,va,2.3658632911791053,-2.1316302322720584,2.0374207
8,ECFP4,random,te,2.3360666092625393,-1.8958252763648877,2.0161676
9,ECFP4,random,tr,2.6419226713912973,-3.0486402679239033,2.3724425
9,ECFP4,random,va,3.1780410740516514,-4.003440629616847,2.681947
9,ECFP4,random,te,2.870754092100543,-5.3893538016339315,2.4819143
