seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,0.5530117134419578,0.8315913106460917,0.4292905
0,ECFP4,random,va,1.1534356068502851,0.35968680762552907,0.8365793
0,ECFP4,random,te,1.0838315563907885,0.19014265281687148,0.8270846
0,ECFP4,random,tr,0.5530117134419578,0.8315913106460917,0.4292905
0,ECFP4,random,va,1.1534356068502851,0.35968680762552907,0.8365793
0,ECFP4,random,te,1.0838315563907885,0.19014265281687148,0.8270846
1,ECFP4,random,tr,2.4303670343826598,-2.281730458941032,2.2549021
1,ECFP4,random,va,2.7000784933195314,-3.822551285175197,2.299004
1,ECFP4,random,te,2.7952313415106587,-2.3676187795161985,2.4334438
2,ECFP4,random,tr,3.811553712568719,-6.802498413521851,3.6728947
2,ECFP4,random,va,4.000631044201784,-10.242267379644273,3.799835
2,ECFP4,random,te,3.8408502324905682,-6.760106398480484,3.554996
3,ECFP4,random,tr,3.748070029484888,-6.498170017905701,3.6007047
3,ECFP4,random,va,4.17928156797774,-8.956663265455461,3.9120717
3,ECFP4,random,te,3.9095767084254147,-9.425283017615355,3.6464982
4,ECFP4,random,tr,1.6474987810330086,-0.5344905406980145,1.3893659
4,ECFP4,random,va,2.5521974706752784,-2.301908325546202,2.1310713
4,ECFP4,random,te,2.438681585074724,-1.8833806131581001,1.9230194
5,ECFP4,random,tr,2.458032546527075,-2.2710910062061873,2.269439
5,ECFP4,random,va,2.6208168486140906,-3.6354816938630385,2.2735453
5,ECFP4,random,te,2.6752764371837054,-2.591447327126961,2.3237238
6,ECFP4,random,tr,1.7458002923404738,-0.6437445531063732,1.4746108
6,ECFP4,random,va,2.29179370412417,-1.6736266728355518,1.790126
6,ECFP4,random,te,2.1961716026421874,-2.321641036519741,1.7947235
7,ECFP4,random,tr,1.8972935624841119,-0.9366628137768809,1.6205448
7,ECFP4,random,va,2.3609489597166142,-2.1475773542107865,1.9308958
7,ECFP4,random,te,2.3226013197628137,-2.336149442953752,1.9384295
8,ECFP4,random,tr,1.5520677587081886,-0.3220760461215111,1.2491664
8,ECFP4,random,va,2.117198535848198,-1.5393786449678273,1.6516998
8,ECFP4,random,te,2.0784767254775915,-1.2707851260059897,1.6679142
9,ECFP4,random,tr,3.4384970866151168,-5.527149919263328,3.2955582
9,ECFP4,random,va,3.619559711004348,-6.181244218021469,3.3064075
9,ECFP4,random,te,3.548053965634429,-5.47780820815735,3.2546492
