Smiles,dock_score,Ridgescore
CS(=O)(=O)c1ccc(-c2ccc(NC(=O)C3CCCC3)cc2)nn1,-4.86950861322233,-7.278539500805131
CCC[C@H](C)NC(=O)c1ccc(NC(=O)CC)cc1,-5.33342640719131,-7.258439808534599
C[C@@H](C(=O)NC1CCCCC1)[NH+]1CCN(c2ccccc2F)CC1,-8.01625243025322,-7.267385895722172
CCCC(=O)Nc1ccc(C(=O)N2CCC(C)CC2)cc1,-6.91919048325986,-7.258946599442799
Cc1cccc(N2CCN(C(=O)[C@H]3CCCN(c4nc5ccccc5[nH]4)C3)C[C@@H]2C)c1,-9.22263793208001,-7.309083348414645
O=C(NCc1ccc(C[NH+]2CCCCC2)cc1)C(=O)Nc1ccc(F)cc1,-8.10101133459431,-7.408215017817277
Cc1cc(NC(=O)N2CCC[C@@H]2c2ccccc2C)ccc1Br,-8.41224389766461,-7.275709527807383
CC(C)C(=O)Nc1c(C(=O)NC(C)(C)C)oc2ccccc12,-7.03106927286295,-7.439601772433188
O=C(CC1CCCC1)Nc1c(C(=O)N2CCOCC2)oc2ccccc12,-8.75226273234641,-7.390168738291687
C[NH+]1CCN(C(=O)c2oc3ccccc3c2NC(=O)Cc2ccc(F)cc2)CC1,-9.81517560558378,-7.469542624185058
O=C(NC1CCN(c2ccccc2C(=O)N2CC[NH+](C3CCCCCC3)CC2)CC1)c1cc(F)cc(F)c1,-6.4264599342249,-7.23639228060947
O=C(N[C@H]1CCCc2ccccc21)[C@H](C1CCCC1)[NH+]1CCN(C(=O)CCc2ccccc2)CC1,-8.39772167477053,-7.440898428113756
O=C(CCC[C@@H]1[C@H]2CCC[N@H+]3CCC[C@@H](CN1C(=O)c1cccnc1)[C@@H]23)NCc1cc[nH+]cc1,-8.39738509873555,-7.331127244308513
O=C(CCC[C@@H]1[C@H]2CCC[N@H+]3CCC[C@@H](CN1C(=O)c1cccnc1)[C@@H]23)NCCc1nc2ccccc2[nH]1,-9.97534418195956,-7.340019474063231
O=C(NCCCc1nc2ccccc2n1CCC1CCCCC1)C1CCCCC1,-8.77687855962953,-7.301662169887055
Cc1ccc(NC(=O)NC2CCN(c3ccccc3C(=O)N3CC[NH+](C4CCCCCC4)CC3)CC2)cc1,-7.50862512363841,-7.196013424167521
COc1ccc([C@H](CC[NH2+]Cc2ccccc2)[C@H]2CCOC(C)(C)C2)cc1,-8.15831822940417,-7.3164548875720685
O=C(CCS(=O)(=O)Cc1ccccc1)NC1CCCCC1,-6.26299085047588,-7.354491903142984
Cn1c(=O)cc(SCC(=O)NCCC2=CCCCC2)c2ccc(Cl)cc21,-8.71245986690512,-7.516542186564317
Cc1ccc(CNC(=O)CCSCc2ccccc2C)cc1,-7.21003631138042,-7.437956974192509
CC(=O)c1ccc(NC(=O)c2cnc(N3CCCC3)nc2C)cc1,-5.3654789605968,-7.439198754521999
Cc1ccc(C(=O)Nc2ccc(CC(=O)[O-])cc2)o1,-6.1117526989742,-7.351156610727297
CCC[NH+](CCC)[C@@H]1Sc2ccc(C(=O)OC)cc2NC1=O,-6.30719387085282,-7.3204824008281495
CCCn1c(=S)[nH]c2cc(C(=O)N3CC[NH+](C4CCCCC4)CC3)ccc2c1=O,-5.40289058899944,-7.159439723326986
O=C(NC[C@H]1CCCO1)[C@H]1CC(=O)N(C2CCCC2)C1,-7.48788188773086,-7.363258801426494
Cc1nc(NC[C@@H]2CCCO2)nc2c1C(=O)CC(C)(C)C2,-7.30938408410514,-7.344872310085658
O=C(CCC1CCCCC1)Nc1nnc(C(F)(F)F)s1,-7.03070186333915,-7.332211479493119
CCC(=O)Nc1cc(C(=O)[O-])ccc1Sc1ccc(C)cc1,-6.73484053587515,-7.390401568270789
COc1ccc2nc(NC(=O)CCN3C(=S)NC(C)(C)C[C@@H]3C)sc2c1,-6.54353208322936,-7.3332797894143695
C[C@@H](CCc1ccccc1)NC(=O)CN1C(=O)NC2(CCCCC2)C1=O,-8.50701681237417,-7.3710786361015455
O=C(CCN1C(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1=O)Nc1ccccc1F,-7.6049276235813,-7.4025455228838
CC1=C(C(=O)Nc2cccc(C(=O)NCc3ccccc3C)c2)SCCO1,-8.97660335533496,-7.470000891191775
COc1ccc2[nH]c3c([O-])n(CCCC(=O)N[C@@H]4CCCC[C@H]4C)c(=S)nc3c2c1,-6.37045145615741,-7.232051757693982
CC[NH+]1CCN(CCNC(=O)c2ccc(C[S@@](=O)c3ccc(Br)cc3)o2)CC1,-10.6149202380198,-7.3077058860797575
COC(=O)[C@@H](C(=O)NC[C@H]1CCCO1)C1CCCC1,-7.34860624914107,-7.374594418799737
COc1ccc(C[NH2+]CC[C@H](c2ccccc2)[C@@H]2CCOC(C)(C)C2)cc1,-8.76740409302106,-7.3361178336084985
CC(C)C[C@H](NC(=O)[C@H]1CC[C@H](C)CC1)C(=O)Nc1ccc2c(c1)OCCO2,-7.34668368786217,-7.288493870665024
COC(=O)CCC/C=C1/SC[C@@H](NC(=O)c2ccccc2)[C@@H]1O,-8.02378769562073,-7.326028134568112
Cc1ccc(-c2cn3c(n2)sc2cc(C(=O)NCCC4=CCCCC4)ccc23)cc1,-8.58184392202861,-7.5590324888770795
CCCC(=O)Nc1ccc(C(=O)NCCCn2ccnc2)cc1,-5.655492844235,-7.276366599216656
CCC[C@@H](C)NC(=O)[C@@H]1CC(=O)N(CCc2ccc(F)cc2)C1,-8.33288997969284,-7.392600811978472
C=CCC(CC=C)(NC(=O)c1cccc(C)c1)c1ccccc1,-6.60343141221009,-7.446457795539825
COc1ccc(CNC(=O)c2ccc(N3CCCC3)c(NC(=O)NCc3ccc(C)cc3)c2)cc1,-9.83550147356413,-7.4599030710465115
O=C(CSCc1ccc(F)cc1)NC1CCCC1,-6.68104813796457,-7.3864873524765535
O=C(NC1CCCCC1)c1ccc(CSc2nc3cccnc3n2Cc2cccc(F)c2)cc1,-7.10189916636284,-7.363258563213825
CCN(CC)c1cc(C)c2cc(NC(=O)[C@H]3CC[C@@H](C)CC3)ccc2[nH+]1,-7.04647437425916,-7.285827212611797
COCCNC(=O)CSc1c2c(nc3ccc(Cl)cc13)CCCC2,-8.28173210691908,-7.365815361064596
CC1CCN(C(=O)Cn2cc(SCC(=O)NC[C@H]3CCCO3)c3ccccc32)CC1,-8.48527821605255,-7.366134320901553
CCOC(=O)C[C@H]1C(=O)NCC[N@H+]1C1CCCC1,-5.39480037240498,-7.294173956335219
COc1ccccc1NC(=O)CC[N@@H+]1C[C@H](C)O[C@H](C)C1,-6.68136495940516,-7.273289876347815
O=C([O-])c1ccc(NCc2nc3ccccc3n2CCOc2ccccc2Cl)cc1,-7.21124680543372,-7.308032608707347
O=C(NC1CCCCC1)c1ccc(Cn2c(SCc3ccccc3F)nc3cccnc32)cc1,-7.90929992308762,-7.285321603000106
Cc1ccc(C(C)C)c(OCC(=O)NCC2(N3CCOCC3)CCCCC2)c1,-7.69170249493892,-7.398148080088534
CC1=C(C(=O)OCC2CCCCC2)[C@@H](c2cccc(F)c2F)CC(=O)N1,-7.66374269358132,-7.415948497582798
CC(C)C(=O)Nc1c(C(=O)N2CCN(c3ccccc3F)CC2)oc2ccccc12,-7.82128110621371,-7.379385341108864
O=C(NCC[NH+]1CCCC1)c1ccc2c(c1)N(Cc1cccc(Cl)c1)C(=O)c1ccccc1S2(=O)=O,-7.87023749902265,-7.473402983353429
Cc1ccc(C[NH+]2CCC(CNC(=O)c3cc4ccc5cccnc5c4[nH]3)CC2)cc1,-8.87162981334717,-7.358148674902934
O=C(CCN1C(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1=O)NC1CCCCC1,-6.69761062596255,-7.332770136503644
CCOc1ccc(NC(=O)CCN2C(=S)NC(C)(C)C[C@@H]2C)cc1,-5.5478850011698,-7.227008345387543
Cc1ccc(OCC(=O)NCC2([NH+]3CCN(C)CC3)CCCCC2)cc1C,-7.31186874666873,-7.228050931304439
CCc1nc2ccc(C(=O)NCCCN3CCN(c4ccccc4F)CC3)cc2nc1CC,-10.5785056089854,-7.380312581694331
CCOc1ccc(-c2nc(CSCC(=O)N[C@@H]3CCC[C@H](C)[C@H]3C)c(C)o2)cc1,-8.84077584293052,-7.394623695588603
O=C(Nc1ccccc1)N1CCC[C@@H]1c1cccs1,-7.27304973387301,-7.349730506892222
O=C(Nc1c(C(=O)N2CCN(c3ccccc3)CC2)oc2ccccc12)c1ccccc1F,-9.07017786609303,-7.3965845570822
