FP_type,split_type,type,num_of_compounds,rmse,r2,mae,seed
ECFP4,random,tr,175,1.0642142921886408,0.2331335603195407,0.8343960099937979,0
ECFP4,random,va,175,1.5915268202887434,-0.12181268941028156,1.1383949713505244,0
ECFP4,random,te,175,1.2165798587185683,0.025855118933814647,1.030620791413538,0
ECFP4,random,tr,175,1.1268664605491359,0.22797214155072465,0.8660926627323626,1
ECFP4,random,va,175,1.1542292626317165,0.03978447491195625,1.0223847485561324,1
ECFP4,random,te,175,1.1282268249862726,0.007144552279610972,0.8608131524613166,1
ECFP4,random,tr,175,1.0876262121906815,0.24455004300819472,0.8395054724242288,2
ECFP4,random,va,175,1.2777584864551397,-0.035297243167061954,1.0169197550980305,2
ECFP4,random,te,175,1.342246975847946,-0.05643711006046259,1.0817525571174218,2
ECFP4,random,tr,175,1.1586601225447717,0.23117562845864603,0.9026726517399374,3
ECFP4,random,va,175,0.9815163890101543,-0.026721528733434807,0.7836989259549877,3
ECFP4,random,te,175,0.9733451255687596,-0.03797215023512335,0.8068860549774802,3
ECFP4,random,tr,175,1.0592276527801556,0.22403346296488125,0.8598609712613712,4
ECFP4,random,va,175,1.8201685769202116,0.009667091289747853,1.3259383440453212,4
ECFP4,random,te,175,0.949844748140706,-0.3279342106364491,0.6804210037182935,4
ECFP4,random,tr,175,1.090088055456878,0.23489014864575286,0.8604097801558142,5
ECFP4,random,va,175,1.1765219341415418,0.05028841933460526,0.9219543345272196,5
ECFP4,random,te,175,1.4374638254875995,-0.11319281121988034,1.0207462392098527,5
ECFP4,random,tr,175,1.0939482044978923,0.22280532657857155,0.8475570975768398,6
ECFP4,random,va,175,1.086122941671943,-0.12038622769095597,0.8971155245191219,6
ECFP4,random,te,175,1.508842193051448,0.024740842669762397,1.205510733868779,6
ECFP4,random,tr,175,1.0744459414126848,0.23525252715105494,0.8453332963938839,7
ECFP4,random,va,175,1.377715886312131,-0.04028951294756844,0.9950198772946961,7
ECFP4,random,te,175,1.377530419385096,-0.021619012183592412,1.1382624890547544,7
ECFP4,random,tr,175,1.1136944410279555,0.23309790929052976,0.8808959621078906,8
ECFP4,random,va,175,1.3558946526378894,0.011384384206915454,1.0161299511314503,8
ECFP4,random,te,175,1.042291235699797,-0.1839788768093693,0.7231550593084095,8
ECFP4,random,tr,175,1.097592700075564,0.22972852005085365,0.8480113355503005,9
ECFP4,random,va,175,1.1165640103362053,0.04520215409344397,0.8479569707489379,9
ECFP4,random,te,175,1.4990480409690314,-0.024573082555907844,1.3171368684126605,9
