FP_type,split_type,type,num_of_compounds,rmse,r2,mae,seed
ECFP4,random,tr,1400,0.8949084664696608,0.5227702639219237,0.6666855854926433,0
ECFP4,random,va,1400,1.2515878723578646,0.2434168479310138,0.8994842846735578,0
ECFP4,random,te,1400,1.1421529911791126,0.20759862029018583,0.8552662128163795,0
ECFP4,random,tr,1400,0.8923074238244245,0.5359452842382617,0.6621746868919137,1
ECFP4,random,va,1400,1.1949564704716913,0.14919595670454555,0.8726218167421257,1
ECFP4,random,te,1400,1.172830601139958,0.20547781956742717,0.8536993372080275,1
ECFP4,random,tr,1400,0.8757433311216889,0.5536645616927574,0.6512773326201229,2
ECFP4,random,va,1400,1.2395371403228705,0.12343138495267758,0.9010786574387627,2
ECFP4,random,te,1400,1.156605086025651,0.18483310872666137,0.8484340679701842,2
ECFP4,random,tr,1400,0.8710788789292008,0.5516101534087734,0.6466398242179708,3
ECFP4,random,va,1400,1.2020319233421144,0.13725146482447081,0.8961436011445507,3
ECFP4,random,te,1400,1.2936761742625886,0.12080816994618393,0.9413712954635586,3
ECFP4,random,tr,1400,0.8954591433370707,0.537193837310491,0.6641849221383471,4
ECFP4,random,va,1400,1.098600623007351,0.1983127818060232,0.8165286793114609,4
ECFP4,random,te,1400,1.18250974774129,0.21198472786531608,0.827887316644075,4
ECFP4,random,tr,1400,0.8855693495501858,0.5148985584942731,0.6673680454897795,5
ECFP4,random,va,1400,1.280276654829341,0.2724148916757424,0.8694433382917288,5
ECFP4,random,te,1400,1.2265279917908516,0.2246832559573959,0.9124282033124238,5
ECFP4,random,tr,1400,0.8981838523716552,0.5242486811208276,0.6644536117971662,6
ECFP4,random,va,1400,1.2488874727425407,0.2099063690285532,0.9533472456540348,6
ECFP4,random,te,1400,1.0568315543969242,0.30458420391151964,0.8114717953335334,6
ECFP4,random,tr,1400,0.895138792728645,0.5255191628989972,0.6634170721629076,7
ECFP4,random,va,1400,1.2136212606755399,0.25467406613331567,0.891470000460642,7
ECFP4,random,te,1400,1.1440080350107786,0.20221968288408043,0.8295176914883898,7
ECFP4,random,tr,1400,0.9025882765670276,0.5160162168216917,0.6642494746082356,8
ECFP4,random,va,1400,1.1128346870592634,0.3071288215594443,0.8243570102875689,8
ECFP4,random,te,1400,1.1966558428382073,0.2401279846881902,0.9161314419495205,8
ECFP4,random,tr,1400,0.9153830462616839,0.5139569953329561,0.6748000035513492,9
ECFP4,random,va,1400,1.2018722553803536,0.28440653217112966,0.9079912225395301,9
ECFP4,random,te,1400,0.998316168057882,0.22731735385531848,0.7656736523910022,9
