l2,lr,gcn_hidden_feats,classifier_hidden_feats,rmse,r2,mae,type,split,model,seed
0.0001,0.03162277660168379,"(256, 128)",128,0.9978470574286791,0.4748475561067126,0.7539502,tr,random,gcn,0
0.0001,0.03162277660168379,"(256, 128)",128,1.1460054557297614,0.25167471313910417,0.8700143,va,random,gcn,0
0.0001,0.03162277660168379,"(256, 128)",128,1.2826570367874592,0.1426638694805319,0.8806788,te,random,gcn,0
