seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,0.8457261009707334,0.6271474543813341,0.6276884
0,ECFP4,random,va,1.11638612615602,0.2745758360859879,0.841346
0,ECFP4,random,te,1.1750410924990153,0.2259323769761088,0.7959461
0,ECFP4,random,tr,0.8457261009707334,0.6271474543813341,0.6276884
0,ECFP4,random,va,1.11638612615602,0.2745758360859879,0.841346
0,ECFP4,random,te,1.1750410924990153,0.2259323769761088,0.7959461
1,ECFP4,random,tr,1.2712298488613967,0.16914467665029653,1.01079
1,ECFP4,random,va,1.8935058965195801,-0.8492785921312516,1.5305363
1,ECFP4,random,te,1.7505527032253012,-1.2720891448319924,1.4392974
2,ECFP4,random,tr,1.642202436413698,-0.41040986563143944,1.3987987
2,ECFP4,random,va,2.3371782866846083,-1.5834052086702677,1.8575054
2,ECFP4,random,te,2.0949232315892727,-2.116947927637657,1.7101932
3,ECFP4,random,tr,1.2356199915258137,0.15980122502569594,0.93370056
3,ECFP4,random,va,1.7909284963599459,-0.5341708889806975,1.4487076
3,ECFP4,random,te,1.9518079665928203,-0.7817890327492825,1.4468577
4,ECFP4,random,tr,3.070825121457539,-4.17949033685729,2.9082716
4,ECFP4,random,va,2.9956366278559794,-3.178344373307704,2.6045015
4,ECFP4,random,te,3.111916581592607,-3.7076985649955834,2.7653263
5,ECFP4,random,tr,1.306775278585857,0.09773483351111512,1.0507016
5,ECFP4,random,va,1.911137303584401,-0.8239334762662536,1.5576297
5,ECFP4,random,te,1.8598098246452635,-1.1541093822158701,1.4886097
6,ECFP4,random,tr,0.9764237572340715,0.5132955938796726,0.7354605
6,ECFP4,random,va,1.5069523863380494,-0.7340506113212182,1.2366692
6,ECFP4,random,te,1.7529396163106692,-0.7302432251421034,1.3212552
7,ECFP4,random,tr,0.9432196345796398,0.4988340547338589,0.74938875
7,ECFP4,random,va,1.6372457670913432,-0.2075513251282235,1.3438364
7,ECFP4,random,te,1.770403716387944,-0.30873507464686,1.352393
8,ECFP4,random,tr,1.2703486232149384,0.15862389244585562,0.9981616
8,ECFP4,random,va,1.5901327034615445,-1.0862715905718119,1.3094381
8,ECFP4,random,te,1.8844984428498517,-0.6341603295637577,1.5011066
9,ECFP4,random,tr,3.6655309536602214,-6.285442157534011,3.504841
9,ECFP4,random,va,3.449251928634309,-5.425609790377685,3.1202333
9,ECFP4,random,te,3.8084538986743213,-5.9205558766663255,3.5159137
