FP_type,split_type,type,num_of_compounds,rmse,r2,mae,seed
ECFP4,random,tr,1050,0.8666240021607016,0.5901590488213598,0.6408156974793018,0
ECFP4,random,va,1050,1.1978402048832577,0.28665514266060055,0.8769432808531042,0
ECFP4,random,te,1050,1.0600809467462067,0.2252475036591819,0.839493760031803,0
ECFP4,random,tr,1050,0.8661140084199127,0.5832176749101379,0.64217629477758,1
ECFP4,random,va,1050,0.9955486819171201,0.34438468795992916,0.7168499339714312,1
ECFP4,random,te,1050,1.3015206391256016,0.2698879755431425,0.9626322885777361,1
ECFP4,random,tr,1050,0.8425613956157729,0.6187299734168574,0.6270664210522483,2
ECFP4,random,va,1050,1.104902338221691,0.14247910379727602,0.8521339717259325,2
ECFP4,random,te,1050,1.2786710288953924,0.13993636997903247,0.8957881242003359,2
ECFP4,random,tr,1050,0.8702952413649515,0.5957284856381455,0.6428081255624117,3
ECFP4,random,va,1050,1.1476605492376863,0.24917712458054309,0.8448677343342718,3
ECFP4,random,te,1050,1.0183318269443258,0.29269455937075073,0.7829333034300098,3
ECFP4,random,tr,1050,0.8500199637076421,0.5915186010623457,0.6364054574886429,4
ECFP4,random,va,1050,1.1680580623684158,0.3083835018266964,0.8628693095875224,4
ECFP4,random,te,1050,1.2641771116870333,0.22516776662118865,0.8850989664714989,4
ECFP4,random,tr,1050,0.8672194614355299,0.5928303693113588,0.6372402259487555,5
ECFP4,random,va,1050,0.9574616305512158,0.38132258878987,0.7429998504957096,5
ECFP4,random,te,1050,1.249053008709646,0.2171223159675656,0.9077294094233401,5
ECFP4,random,tr,1050,0.8906730762427092,0.5721595614002547,0.6574418701045427,6
ECFP4,random,va,1050,1.1383643197313154,0.3403519716609985,0.8357447464330678,6
ECFP4,random,te,1050,0.8921748566656608,0.4518238171828366,0.6966046677298209,6
ECFP4,random,tr,1050,0.8738691429785731,0.5891552410961431,0.6530619442936566,7
ECFP4,random,va,1050,1.1177231036728532,0.29454111431337027,0.8381747145011704,7
ECFP4,random,te,1050,0.9861308639609212,0.3985974683536726,0.708438527912429,7
ECFP4,random,tr,1050,0.8617131832461776,0.5924690740672546,0.6341323810922185,8
ECFP4,random,va,1050,1.1155291375230665,0.2950372729829024,0.8301827886209089,8
ECFP4,random,te,1050,1.1226550698037383,0.33751144644080044,0.8603337825547385,8
ECFP4,random,tr,1050,0.869133396989348,0.5829777870161792,0.6469358869606879,9
ECFP4,random,va,1050,1.0431291329840502,0.4035633055888789,0.8187141086544316,9
ECFP4,random,te,1050,1.2281787998463436,0.22380494807677054,0.8954614453669464,9
