FP_type,split_type,type,num_of_compounds,max_depth,num_leaves,learning_rate,subsample,rmse,r2,mae
ECFP4,random,tr,525,23,22,0.09919710746393531,1.0,0.5331865446029661,0.8624820062220103,0.3976141934858378
ECFP4,random,va,525,23,22,0.09919710746393531,1.0,0.9922006110766671,0.47154691735404275,0.7569141640742827
ECFP4,random,te,525,23,22,0.09919710746393531,1.0,1.000370612579167,0.41809326287245663,0.7250909882640059
