l2,lr,gat_hidden_feats,num_heads,classifier_hidden_feats,rmse,r2,mae,type,split,model,seed
0.0001,0.0031622776601683794,"(256, 256)","(5, 5)",128,1.0464853159297574,0.3382463409934313,0.8500493,tr,random,gat,0
0.0001,0.0031622776601683794,"(256, 256)","(5, 5)",128,0.9238319961434485,0.15630909195962828,0.7815216,va,random,gat,0
0.0001,0.0031622776601683794,"(256, 256)","(5, 5)",128,1.7520252497869753,-0.9671812784092684,1.3936405,te,random,gat,0
