FP_type,split_type,type,num_of_compounds,rmse,r2,mae,seed
ECFP4,random,tr,525,1.3820430352376603,0.07605887312948667,1.0629504509854215,0
ECFP4,random,tr,525,1.4031981877493744,-0.05692820006434518,1.102535805361194,0
ECFP4,random,tr,525,1.313589271501664,-0.0033459928303845032,1.0404601276747456,0
ECFP4,random,tr,525,1.3644692499672277,0.13443623991315712,1.0560748869385639,1
ECFP4,random,va,525,1.2479034141695324,-0.013327453410645562,0.9558037931111115,1
ECFP4,random,te,525,1.2418425767858379,0.0876480708949452,1.014425881674862,1
ECFP4,random,tr,525,1.3541265799654454,0.1020572100413234,1.0572516886652297,2
ECFP4,random,va,525,1.2123364634452685,0.022921479605787276,0.9539743497509247,2
ECFP4,random,te,525,1.5758050615115033,0.053107265768541634,1.2396986407107975,2
ECFP4,random,tr,525,1.3496813331663475,0.12057589588758466,1.0499732606321583,3
ECFP4,random,va,525,1.2744280728044102,0.07747457959833803,1.0160535385157063,3
ECFP4,random,te,525,1.4333503714514824,0.028906657640239697,1.0654211593811915,3
ECFP4,random,tr,525,1.3103509957743933,0.15020513067777386,1.0211964699913074,4
ECFP4,random,va,525,1.5008490903567326,0.05357970614568486,1.1341467565950158,4
ECFP4,random,te,525,1.3615523009482817,-0.017374682155527177,1.0170993190892128,4
ECFP4,random,tr,525,1.349401831902789,0.1313202206683095,1.038515907865512,5
ECFP4,random,va,525,1.3982087828296406,0.10571145667923909,1.1265100100497707,5
ECFP4,random,te,525,1.1856367640181118,0.07414797253250272,0.9370876163997174,5
ECFP4,random,tr,525,1.3534040600744677,0.09459754107143326,1.0568734813353666,6
ECFP4,random,va,525,1.3890699007085818,0.04859605741026052,1.0126069431274762,6
ECFP4,random,te,525,1.442636882624687,0.0628195310337033,1.1421652005736624,6
ECFP4,random,tr,525,1.3415138751937679,0.10098069121811426,1.027700375487985,7
ECFP4,random,va,525,1.4820258242696216,-0.05508944064195709,1.1425884769645183,7
ECFP4,random,te,525,1.3852673493243144,0.09870897743862594,1.1762420703277916,7
ECFP4,random,tr,525,1.3370700283471195,0.09548280534374443,1.0508119940200806,8
ECFP4,random,va,525,1.516732944743266,0.02272930346735169,1.1572960073147802,8
ECFP4,random,te,525,1.457674137716418,0.04011881879487156,1.1090039078397418,8
ECFP4,random,tr,525,1.375250059500575,0.09623516417141287,1.0783597078642475,9
ECFP4,random,va,525,1.184497111921965,0.03792647352126921,0.908953179725563,9
ECFP4,random,te,525,1.4796942511463098,0.025170352759896986,1.068382201564129,9
