l2,lr,gat_hidden_feats,num_heads,classifier_hidden_feats,rmse,r2,mae,type,split,model,seed
1e-08,0.0031622776601683794,"(256, 256)","(5, 5)",256,1.051289772161303,0.4392914438250384,0.7820781,tr,random,gat,0
1e-08,0.0031622776601683794,"(256, 256)","(5, 5)",256,0.9709029116821949,0.4635450647455669,0.7579473,va,random,gat,0
1e-08,0.0031622776601683794,"(256, 256)","(5, 5)",256,1.4010509599379817,0.07831328400469162,0.9529748,te,random,gat,0
