FP_type,split_type,type,num_of_compounds,rmse,r2,mae,seed
ECFP4,random,tr,350,0.22820343691931647,0.9684517499697821,0.1844665310576624,0
ECFP4,random,va,350,1.1625609961203982,0.25237478263951785,0.8260482267956805,0
ECFP4,random,te,350,1.22473399148666,0.40170945417740656,0.9442628548099657,0
ECFP4,random,tr,350,0.30968892441571294,0.9430343190338867,0.25506977385364293,1
ECFP4,random,va,350,1.3939569924194501,0.27804125338136865,0.9745089390991495,1
ECFP4,random,te,350,1.144022411518932,-0.14074859369700965,0.8912495922341274,1
ECFP4,random,tr,350,0.5319863670530036,0.841803159247666,0.41305676514815376,2
ECFP4,random,va,350,1.2061339503971957,0.23415258000811756,0.9158968322838382,2
ECFP4,random,te,350,1.0723248642781527,0.15909909825580193,0.8317001952733705,2
ECFP4,random,tr,350,0.42242878215931395,0.9034956281296022,0.33673539401819835,3
ECFP4,random,va,350,0.9680365941454954,0.19016668950477844,0.7788061038595941,3
ECFP4,random,te,350,0.9828957621304673,0.32003090579471893,0.799735947832413,3
ECFP4,random,tr,350,0.4088951236437294,0.9034823701722812,0.32306427418162387,4
ECFP4,random,va,350,1.0624037263040509,0.2776866139262114,0.8514436449292041,4
ECFP4,random,te,350,1.3476508203759356,0.10184217584510447,0.9590866817668378,4
ECFP4,random,tr,350,0.28898447330883076,0.9536443335220992,0.23227296692880806,5
ECFP4,random,va,350,0.8674648172482908,0.3696611656020391,0.6978066122871855,5
ECFP4,random,te,350,1.034388313764625,0.424675546817911,0.7958059878471323,5
ECFP4,random,tr,350,0.31248621299236845,0.9442198411496426,0.25473139939390455,6
ECFP4,random,va,350,0.9789589047903382,0.43398427791835603,0.7933426256299244,6
ECFP4,random,te,350,1.1306577340259611,0.314433680206715,0.8723673647305994,6
ECFP4,random,tr,350,0.35422611139243815,0.930001225463164,0.28803397391989966,7
ECFP4,random,va,350,1.129801753450716,0.32625561078431464,0.8465269526836975,7
ECFP4,random,te,350,1.0911681482737245,0.10254463174551409,0.8934122462823387,7
ECFP4,random,tr,350,0.3370700494201663,0.9332620580602969,0.27168618474277273,8
ECFP4,random,va,350,1.1257260289551567,0.4010513766270596,0.8955193916071633,8
ECFP4,random,te,350,1.033522468675471,0.41591793606043104,0.8065540083408341,8
ECFP4,random,tr,350,0.564235464949189,0.8104412664230418,0.44693691340402136,9
ECFP4,random,va,350,1.1056125048444767,0.3337953859460425,0.8454909757147623,9
ECFP4,random,te,350,1.1739258649078568,0.3595777290592924,0.8917314776053741,9
