FP_type,split_type,type,num_of_compounds,C,gamma,rmse,r2,mae
ECFP4,random,tr,1400,5,0.03819802531593748,0.18143790811364263,0.9814821080551445,0.11116446866723093
ECFP4,random,va,1400,5,0.03819802531593748,0.8891173799143341,0.37891566130127097,0.6780867264208345
ECFP4,random,te,1400,5,0.03819802531593748,1.1166939816271573,0.24253074278820208,0.8070491936638408
