seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,0.47481844657316535,0.8724900381566821,0.36556378
0,ECFP4,random,va,0.9689967856319406,0.45138106823900837,0.7181131
0,ECFP4,random,te,1.195050678375653,0.19901280146105682,0.82730526
0,ECFP4,random,tr,0.47481844657316535,0.8724900381566821,0.36556378
0,ECFP4,random,va,0.9689967856319406,0.45138106823900837,0.7181131
0,ECFP4,random,te,1.195050678375653,0.19901280146105682,0.82730526
1,ECFP4,random,tr,1.0052468814606998,0.42232178498847894,0.74854416
1,ECFP4,random,va,1.7924414297667546,-0.7519436245812581,1.4092103
1,ECFP4,random,te,1.6318122683988117,-0.5569908981542291,1.3208467
2,ECFP4,random,tr,1.1255600383002322,0.3095060280394355,0.87880737
2,ECFP4,random,va,1.6185053371686735,-0.8639935129506149,1.3098408
2,ECFP4,random,te,1.7059583281898012,-0.8946493155595323,1.3303838
3,ECFP4,random,tr,1.2578985054513678,0.08388206647914787,0.96361387
3,ECFP4,random,va,1.8625028571804585,-0.8340448868967529,1.4100568
3,ECFP4,random,te,1.9661096093754518,-1.0115218522502984,1.5664616
4,ECFP4,random,tr,2.3073106223907134,-1.9981241460375987,2.031479
4,ECFP4,random,va,2.6440162326239425,-3.3095287425508593,2.2460058
4,ECFP4,random,te,2.594405125990093,-2.714844499474391,2.1579204
5,ECFP4,random,tr,1.8085987593579385,-0.8896570197705085,1.5030854
5,ECFP4,random,va,2.4939761066469988,-2.3691971381982597,2.0198767
5,ECFP4,random,te,2.383407368432624,-1.9638335796751973,1.8979828
6,ECFP4,random,tr,1.1620518261420247,0.24729302660240104,0.89808685
6,ECFP4,random,va,1.678502929298588,-0.6286012515226636,1.3133988
6,ECFP4,random,te,1.6903999982724638,-0.8607258977368326,1.3448479
7,ECFP4,random,tr,2.0941148126964966,-1.4772332648867637,1.809228
7,ECFP4,random,va,2.419735757414778,-3.3144348930797856,2.0390482
7,ECFP4,random,te,2.753891965139148,-2.6836303469386906,2.2509682
8,ECFP4,random,tr,1.1891878580790645,0.22233626760839742,0.9358615
8,ECFP4,random,va,1.7360150942212142,-0.9204131666394915,1.3379123
8,ECFP4,random,te,1.5957761862194606,-0.6780567485666955,1.2393924
9,ECFP4,random,tr,1.1796912389026533,0.22935721553326727,0.91576725
9,ECFP4,random,va,1.5358390551477914,-0.7597706107313218,1.2054063
9,ECFP4,random,te,1.7345599514059358,-0.7272369922968498,1.3843516
