Smiles,gcnscore
O=C(CN1CCN(C(=O)Nc2ccc(Cl)cc2)CC1=O)NCCCc1ccccc1,-7.5149054527282715
COC[C@@H](C)N1C[C@H](C(=O)Nc2ccc(F)cc2)CC1=O,-7.567460536956787
Cc1cccc(-n2c(CN3CCN(C(=O)NCC(C)C)CC3)[nH+]c3cccnc32)c1,-8.254148483276367
CC(C)(C)NC(=O)N1CCC2(CC1)C[C@@H](CC(=O)N1CCOCC1)CCO2,-6.986054420471191
Cc1ccc(NC(=O)N2CCC(Cc3ccc(CCC(=O)N4CCCC4)cc3)CC2)cc1C,-7.753734111785889
COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC1CCCCCC1,-5.816678524017334
O=C(Nc1ccc(N2CCCN(C(=O)Nc3ccccc3F)CC2)c(C(=O)N2CCOCC2)c1)C1CCC1,-7.417357921600342
CCCC(=O)N1CCC(C(=O)Nc2nnc(C)s2)CC1,-6.230351448059082
O=C(CCC1CCN(C(=O)c2ccccc2Cl)CC1)NC1CCCCC1,-7.310397148132324
O=C(NC1CC1)[C@@H]1CCc2sc(C(=O)N3CCCCCC3)cc2C1,-7.611181735992432
Cc1ccc(CN2C(=O)CSc3ccc(NC(=O)N[C@@H](C)CCc4ccccc4)cc32)cc1,-8.832003593444824
CC(=O)N1CCc2cc(-c3ccc(C(=O)NCCC[NH+]4CCCC4)cc3)ccc21,-7.80679178237915
O=C(NCCC[NH+]1CCCC1)c1cccc(N2CC[NH2+][C@@H](c3ccccc3)C2)n1,-7.466226577758789
CCCCNC(=O)[C@@H]1CN(C(=O)C2CC2)C[C@H]1c1ccc(F)cc1,-6.791947364807129
Cc1ccc(OCC[C@H]2CCN(C(=O)NC3CCCC3)C2)cc1,-7.701228618621826
Cc1ccc(-c2cn3c(n2)sc2cc(C(=O)NCc4ccc(F)cc4)ccc23)c(C)c1,-7.6196160316467285
O=C(NCc1ccccc1)c1ccc(NC(=O)N2CCn3nc(-c4ccccc4)cc3C2)cc1,-8.215922355651855
CC(C)[C@@H](NC(=O)[C@H]1CC[C@H](C)CC1)C(=O)Nc1ccc2c(c1)OCO2,-9.299565315246582
O=C(Nc1ccc(Br)cc1F)N1CCC[C@@H]1c1ccco1,-8.238653182983398
CC(C)NC(=O)N1CC[C@@H](c2noc(COc3ccc(F)cc3)n2)C1,-9.004950523376465
O=C(c1n[nH]c(=O)c2ccccc12)N1CCC2(CC1)C[C@@H](CCOc1ccc(F)cc1)CCO2,-8.642121315002441
O=C(NCCC[NH+]1CCOCC1)C(=O)Nc1ccccc1Cl,-7.695899963378906
O=C(CCc1ccnc(N2CCCC2)c1)NCCC[NH+]1CCCC1,-7.356296062469482
CCn1cc(C[NH+]2CCC3(CC[C@@H]3O)CC2)c(C)n1,-5.559438228607178
Cc1cc(C(=O)N2CCC[C@](F)(C(=O)NCC3CC3)C2)n(C)n1,-6.376343250274658
CCC[C@H](C(=O)[O-])n1sc2ccccc2c1=O,-6.410844326019287
Cc1cc(C)cc(C(=O)N2CC=C(C(=O)NC(C)C)CC2)c1,-8.1203031539917
O=C(c1ccc(-c2cc(-c3cccc(C(F)(F)F)c3)n[nH]2)cc1)N1CCC(Cc2ccccc2)CC1,-9.701090812683105
CCOC(=O)CNC(=O)N1CCC[C@H]1c1ccc(OC)cc1,-7.811649799346924
