Smiles,dock_score
COCCc1nnc2n1CCC1(CC2)CCN(C(=O)NCCC(C)C)CC1,-7.47616367616768
O=C(NC1CCN(c2ccccc2C(=O)N2CC[NH+](C3CCCC3)CC2)CC1)c1cccc(F)c1,-6.55349050608936
CCn1ccc(C(=O)N2CCC(F)(C(=O)NC3CC3)CC2)n1,-5.58266723500022
COCc1nc(CCNC(=O)C2CCCC2)no1,-6.17429126810147
O=c1c(Nc2ccc(Cl)cc2)c(-c2ccc3c(c2)CCCC3)c1=O,-9.00229084030651
COc1ccccc1NC(=O)c1cnc(N2CCCC2)nc1C,-6.714040283977
Cc1cc(C(=O)N[C@@H](C)CCc2ccccc2)c2cnn(C(C)C)c2n1,-7.53583637645867
O=C(NCC[NH+]1CCCCC1)C1CCN(c2ccc(-c3cccc(F)c3)nn2)CC1,-9.83142890736422
O=C(NC1CCCC1)C1CCN(C(=O)[C@H]2CC(=O)N(c3ccccc3)C2)CC1,-8.14156858722071
O=C([O-])[C@@H]1C[N@H+](Cc2ccccc2)C[C@@H]1C(=O)NCc1ccc(F)cc1,-7.84439782571111
Cc1cccc([NH+]2CCN(C(=O)c3csc(C(=O)NC4CC4)n3)CC2)c1C,-9.03414742532678
O=C(NCc1ccc(-c2ncc(-c3ccc(F)cc3)[nH]2)cc1)C1=Cc2cc(Cl)ccc2OC1,-9.67458669542524
O=C(NCc1ccc(F)cc1F)C1CCN(c2cncnc2N2CCCCC2)CC1,-8.21944313667755
CCCCCNC(=O)c1ccc2c(c1)NC(=O)CS2,-6.21442040660166
CCNC(=O)N1CCCC[C@@H]1c1nc(CCOCC2CC2)no1,-8.41458379138285
O=C(C[C@H]1COc2cc(F)ccc2N1Cc1ccccc1)NCCC[NH+]1CCCCC1,-8.65493032393388
COc1ccc(-c2noc(CCCC(=O)NC(C)(C)C)n2)cc1,-7.02662558905659
Cc1noc(C)c1CC(=O)NCCN(C(=O)N(C)C)C1CCOCC1,-8.03059263130146
CC(C)(C)C(=O)Nc1ccc(N2CCCN(C(=O)c3cccc(Br)c3)CC2)nc1,-6.38344442841289
Cc1cccc(-c2cc(Nc3ccc(C(=O)Nc4cc(F)cc(F)c4)cc3)ncn2)c1,-8.50216106877004
O=C(Cn1c(=O)cc(C(=O)N2CCCCC2)c2ccccc21)NC1CCCC1,-5.2980337842395
O=C(Nc1ccc(F)cc1F)N1CC[NH+](Cc2nc3ccc(Cl)cc3o2)CC1,-8.51002897673061
CCCNC(=O)N1CCC(c2nc(C3CCOCC3)no2)CC1,-7.41634346190583
O=C(CCc1ccc(CC2CCN(C(=O)Nc3ccccc3F)CC2)cc1)NCC1CC1,-9.6500050004308
CCNC(=O)N1CCC([N@H+]2C[C@@H](OCC3CC3)C23CCCCC3)CC1,-6.90090060795984
O=C(CCc1nc2ccccc2[nH]1)N1CCC2(CC[C@@H]2O)CC1,-7.36769190049331
O=C(CC1CCCC1)N1CCC(N2C(=O)[C@H](O)C23CCCCC3)CC1,-8.50194612414187
