seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,0.8352634172044141,0.6475510270049518,0.6199467
0,ECFP4,random,va,0.929983781037365,0.4750054925667916,0.73596513
0,ECFP4,random,te,1.1723292169861108,0.37455963748463805,0.8480493
0,ECFP4,random,tr,0.8352634172044141,0.6475510270049518,0.6199467
0,ECFP4,random,va,0.929983781037365,0.4750054925667916,0.73596513
0,ECFP4,random,te,1.1723292169861108,0.37455963748463805,0.8480493
1,ECFP4,random,tr,5.229648745176372,-12.161913561068435,5.0971017
1,ECFP4,random,va,5.389859794817309,-17.510114694903365,5.221077
1,ECFP4,random,te,5.2683686938613175,-17.653548841679203,5.112691
2,ECFP4,random,tr,4.939203475489752,-11.822376521620697,4.8077216
2,ECFP4,random,va,5.38208144584391,-12.869619757433444,5.166411
2,ECFP4,random,te,4.878181984059686,-9.678367194322655,4.6391277
3,ECFP4,random,tr,4.7793705057287905,-10.296285815068183,4.6250367
3,ECFP4,random,va,5.054774288039709,-13.154248332162979,4.8353653
3,ECFP4,random,te,4.867434769376048,-12.897015160562864,4.6503544
4,ECFP4,random,tr,4.922042601623068,-11.59414245542806,4.808426
4,ECFP4,random,va,4.878847608985058,-7.966011047200565,4.596325
4,ECFP4,random,te,4.903718137148944,-14.008503360596965,4.715989
5,ECFP4,random,tr,3.578343413903924,-5.443600570792194,3.4249585
5,ECFP4,random,va,3.519871567203749,-4.6638542641833665,3.1270423
5,ECFP4,random,te,3.509667396762958,-7.086438433246137,3.2067418
6,ECFP4,random,tr,5.0265790213946895,-11.949374132771233,4.90311
6,ECFP4,random,va,5.0401791776868885,-10.539846308273548,4.8192773
6,ECFP4,random,te,5.188463604144603,-13.393004824292785,4.9881306
7,ECFP4,random,tr,4.723891936665876,-10.837678083041284,4.5937123
7,ECFP4,random,va,5.228979626637592,-15.172890788968765,4.997934
7,ECFP4,random,te,4.991023015899572,-7.985709263981484,4.6730533
8,ECFP4,random,tr,4.51977749403453,-9.809510503842933,4.394151
8,ECFP4,random,va,4.578734061181906,-7.902652933892588,4.323519
8,ECFP4,random,te,4.610330980380609,-8.566291803566825,4.359487
9,ECFP4,random,tr,3.870294482636201,-6.646651620250698,3.7284176
9,ECFP4,random,va,3.8142069763049387,-6.3940596231015965,3.5327008
9,ECFP4,random,te,4.360616527678723,-9.291896520988988,4.165641
