l2,lr,gcn_hidden_feats,classifier_hidden_feats,rmse,r2,mae,type,split,model,seed
1e-08,0.03162277660168379,"(256, 256)",128,0.9493633207264505,0.47964803158942537,0.7203137,tr,random,gcn,0
1e-08,0.03162277660168379,"(256, 256)",128,1.0253352849649906,0.38231348213311456,0.7868917,va,random,gcn,0
1e-08,0.03162277660168379,"(256, 256)",128,1.2551218480538928,0.002929856377603124,0.9089212,te,random,gcn,0
