seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,1.148941344720342,0.16873399984521686,0.9534153
0,ECFP4,random,va,1.0030940588816908,0.25010792070547505,0.807412
0,ECFP4,random,te,1.525714053594838,-0.5321050701675614,1.2860506
0,ECFP4,random,tr,1.148941344720342,0.16873399984521686,0.9534153
0,ECFP4,random,va,1.0030940588816908,0.25010792070547505,0.807412
0,ECFP4,random,te,1.525714053594838,-0.5321050701675614,1.2860506
1,ECFP4,random,tr,1.3384979428919253,-0.08923979356981482,1.1151056
1,ECFP4,random,va,1.2177656551256189,-0.06883828714403406,1.0157285
1,ECFP4,random,te,1.713458707554015,-1.2900264795579277,1.4192194
2,ECFP4,random,tr,2.507435517779864,-3.0151884425424216,2.367706
2,ECFP4,random,va,2.5641169215069355,-3.1691078777340502,2.173665
2,ECFP4,random,te,2.529634784528574,-2.7522727517212013,2.1346653
3,ECFP4,random,tr,1.238280383570034,0.12188167704836128,0.9957605
3,ECFP4,random,va,1.297258619078775,-0.7935382900445436,1.1669418
3,ECFP4,random,te,1.5556164750401629,-1.6512891042737219,1.3782381
4,ECFP4,random,tr,0.8895554059459423,0.4527189919856891,0.69546473
4,ECFP4,random,va,1.513703770455287,0.31508002381099287,1.2439303
4,ECFP4,random,te,1.7599781174816584,-3.559171264491865,1.3512084
5,ECFP4,random,tr,1.8947884611158918,-1.3116500007102956,1.7310699
5,ECFP4,random,va,1.8912053123988495,-1.45396904988919,1.6799738
5,ECFP4,random,te,2.604613293813275,-2.6547951559248815,2.0955958
6,ECFP4,random,tr,0.8780884731746038,0.4992593592927935,0.6973493
6,ECFP4,random,va,1.18833316887689,-0.3411774638856906,0.91380966
6,ECFP4,random,te,1.8033360957666886,-0.3931110856822768,1.4180808
7,ECFP4,random,tr,1.016222792539231,0.3158886823186746,0.8083806
7,ECFP4,random,va,1.0719275992697324,0.3702533883892044,0.89939564
7,ECFP4,random,te,1.478569886435158,-0.17698320133801237,1.3090144
8,ECFP4,random,tr,0.7270984518743725,0.6731155492811802,0.5749332
8,ECFP4,random,va,1.3581167075636487,0.008141456364359811,0.93886256
8,ECFP4,random,te,1.1228764943785259,-0.37413579462421365,0.90596557
9,ECFP4,random,tr,0.99775745353505,0.3634809910132475,0.7762145
9,ECFP4,random,va,1.3381822254357925,-0.371433026681081,1.0584362
9,ECFP4,random,te,1.9824176656744104,-0.7918524441110097,1.8317453
