seed,FP_type,split_type,type,rmse,mae,r2
0,ECFP4,random,tr,1.148941344720342,0.9534153,0.16873399984521686
0,ECFP4,random,va,1.0030940588816908,0.807412,0.25010792070547505
0,ECFP4,random,te,1.525714053594838,1.2860506,-0.5321050701675614
