FP_type,split_type,type,num_of_compounds,max_depth,num_leaves,learning_rate,subsample,rmse,r2,mae
ECFP4,random,tr,875,23,19,0.06722742869065562,1.0,0.6016786467810746,0.8033537188345563,0.44963323930700866
ECFP4,random,va,875,23,19,0.06722742869065562,1.0,1.193376831060156,0.3906842443860129,0.9332394125565742
ECFP4,random,te,875,23,19,0.06722742869065562,1.0,1.1712424417523384,0.23092902891828238,0.8043813365381912
