FP_type,split_type,type,num_of_compounds,rmse,r2,mae,seed
ECFP4,random,tr,175,0.7610459030198704,0.6352746177920832,0.4694716051185305,0
ECFP4,random,va,175,1.1669678881453147,-0.01492341102563266,0.7778593987756032,0
ECFP4,random,te,175,1.2990250388358002,-0.11065033739982355,1.0528801361847018,0
ECFP4,random,tr,175,0.8204520173264502,0.5907445792960585,0.489305181616154,1
ECFP4,random,va,175,1.120594184665802,0.09493183113249382,0.9425538817795949,1
ECFP4,random,te,175,1.0455323816701947,0.14735518290964789,0.8432278607599488,1
ECFP4,random,tr,175,0.712501704815487,0.6757961371827932,0.44618466727218953,2
ECFP4,random,va,175,1.35185475355042,-0.15885093200349876,1.1454621929074376,2
ECFP4,random,te,175,1.4532836143123795,-0.23845301303699507,1.079818657276336,2
ECFP4,random,tr,175,0.8128967818634607,0.6215697627010893,0.5037549856296583,3
ECFP4,random,va,175,0.9789754423786337,-0.021412462568800583,0.7362281690822441,3
ECFP4,random,te,175,0.9597321787999026,-0.009141572004335519,0.8016914440907398,3
ECFP4,random,tr,175,0.6923529172287093,0.6684726016126018,0.45002744537042566,4
ECFP4,random,va,175,1.7907248541560181,0.04144793165895955,1.293220479868066,4
ECFP4,random,te,175,0.9012882414749801,-0.1956352711319289,0.7869464708824219,4
ECFP4,random,tr,175,0.7125356801775126,0.6731007945540429,0.4437191623033893,5
ECFP4,random,va,175,1.2469511704584575,-0.06681858211048164,1.0551547572418412,5
ECFP4,random,te,175,1.5259904710113463,-0.25452750636124444,1.0680656233579067,5
ECFP4,random,tr,175,0.7585436728312247,0.6263220461940935,0.4518960400859405,6
ECFP4,random,va,175,1.0322657306671688,-0.012028648873172454,0.8242404959635804,6
ECFP4,random,te,175,1.4702091734891187,0.07404335407971419,1.203501598289537,6
ECFP4,random,tr,175,0.758004736349008,0.6193789967290564,0.454796913513201,7
ECFP4,random,va,175,1.3545188630214742,-0.005553084967261812,1.0693697749789683,7
ECFP4,random,te,175,1.3673558553486116,-0.0065832054191130585,1.112638323310852,7
ECFP4,random,tr,175,0.779428045938888,0.6243703413515929,0.46200335375836693,8
ECFP4,random,va,175,1.3420099896389914,0.03152800368659858,1.04386200961917,8
ECFP4,random,te,175,1.1030309708742092,-0.32599289141279675,0.8657694123737699,8
ECFP4,random,tr,175,0.7783339547948912,0.6126591047566534,0.4578300872016092,9
ECFP4,random,va,175,1.1209851917743074,0.03762588987974991,0.8926299601675112,9
ECFP4,random,te,175,1.6570733641462947,-0.25197400781509627,1.436409021965285,9
