FP_type,split_type,type,num_of_compounds,C,gamma,rmse,r2,mae
ECFP4,random,tr,175,72,0.00020557970337146958,0.7610459030198704,0.6352746177920832,0.4694716051185305
ECFP4,random,va,175,72,0.00020557970337146958,1.1669678881453147,-0.01492341102563266,0.7778593987756032
ECFP4,random,te,175,72,0.00020557970337146958,1.2990250388358002,-0.11065033739982355,1.0528801361847018
