Smiles,DNNscore
CS(=O)(=O)c1ccc(-c2ccc(NC(=O)C3CCCC3)cc2)nn1,-6.72205924987793
CCC[C@H](C)NC(=O)c1ccc(NC(=O)CC)cc1,-7.573580741882324
C[C@@H](C(=O)NC1CCCCC1)[NH+]1CCN(c2ccccc2F)CC1,-6.793188095092773
CCCC(=O)Nc1ccc(C(=O)N2CCC(C)CC2)cc1,-5.844139099121094
Cc1cccc(N2CCN(C(=O)[C@H]3CCCN(c4nc5ccccc5[nH]4)C3)C[C@@H]2C)c1,-8.242937088012695
O=C(NCc1ccc(C[NH+]2CCCCC2)cc1)C(=O)Nc1ccc(F)cc1,-6.538858413696289
Cc1cc(NC(=O)N2CCC[C@@H]2c2ccccc2C)ccc1Br,-5.547896385192871
CC(C)C(=O)Nc1c(C(=O)NC(C)(C)C)oc2ccccc12,-6.697972297668457
O=C(CC1CCCC1)Nc1c(C(=O)N2CCOCC2)oc2ccccc12,-7.3890380859375
C[NH+]1CCN(C(=O)c2oc3ccccc3c2NC(=O)Cc2ccc(F)cc2)CC1,-8.805444717407227
O=C(NC1CCN(c2ccccc2C(=O)N2CC[NH+](C3CCCCCC3)CC2)CC1)c1cc(F)cc(F)c1,-6.288259506225586
O=C(N[C@H]1CCCc2ccccc21)[C@H](C1CCCC1)[NH+]1CCN(C(=O)CCc2ccccc2)CC1,-8.122653007507324
O=C(CCC[C@@H]1[C@H]2CCC[N@H+]3CCC[C@@H](CN1C(=O)c1cccnc1)[C@@H]23)NCc1cc[nH+]cc1,-8.787199974060059
O=C(CCC[C@@H]1[C@H]2CCC[N@H+]3CCC[C@@H](CN1C(=O)c1cccnc1)[C@@H]23)NCCc1nc2ccccc2[nH]1,-9.175864219665527
O=C(NCCCc1nc2ccccc2n1CCC1CCCCC1)C1CCCCC1,-7.152907371520996
Cc1ccc(NC(=O)NC2CCN(c3ccccc3C(=O)N3CC[NH+](C4CCCCCC4)CC3)CC2)cc1,-5.756507873535156
COc1ccc([C@H](CC[NH2+]Cc2ccccc2)[C@H]2CCOC(C)(C)C2)cc1,-7.670173645019531
O=C(CCS(=O)(=O)Cc1ccccc1)NC1CCCCC1,-6.820262908935547
Cn1c(=O)cc(SCC(=O)NCCC2=CCCCC2)c2ccc(Cl)cc21,-8.377466201782227
Cc1ccc(CNC(=O)CCSCc2ccccc2C)cc1,-7.333171844482422
CC(=O)c1ccc(NC(=O)c2cnc(N3CCCC3)nc2C)cc1,-6.316481590270996
Cc1ccc(C(=O)Nc2ccc(CC(=O)[O-])cc2)o1,-6.103259086608887
CCC[NH+](CCC)[C@@H]1Sc2ccc(C(=O)OC)cc2NC1=O,-7.30275821685791
CCCn1c(=S)[nH]c2cc(C(=O)N3CC[NH+](C4CCCCC4)CC3)ccc2c1=O,-6.295260429382324
O=C(NC[C@H]1CCCO1)[C@H]1CC(=O)N(C2CCCC2)C1,-8.600370407104492
Cc1nc(NC[C@@H]2CCCO2)nc2c1C(=O)CC(C)(C)C2,-7.407426834106445
O=C(CCC1CCCCC1)Nc1nnc(C(F)(F)F)s1,-7.3803253173828125
CCC(=O)Nc1cc(C(=O)[O-])ccc1Sc1ccc(C)cc1,-7.093082427978516
COc1ccc2nc(NC(=O)CCN3C(=S)NC(C)(C)C[C@@H]3C)sc2c1,-6.82021427154541
C[C@@H](CCc1ccccc1)NC(=O)CN1C(=O)NC2(CCCCC2)C1=O,-7.028203010559082
O=C(CCN1C(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1=O)Nc1ccccc1F,-7.257681846618652
CC1=C(C(=O)Nc2cccc(C(=O)NCc3ccccc3C)c2)SCCO1,-7.213817596435547
COc1ccc2[nH]c3c([O-])n(CCCC(=O)N[C@@H]4CCCC[C@H]4C)c(=S)nc3c2c1,-6.6664276123046875
CC[NH+]1CCN(CCNC(=O)c2ccc(C[S@@](=O)c3ccc(Br)cc3)o2)CC1,-8.4025297164917
COC(=O)[C@@H](C(=O)NC[C@H]1CCCO1)C1CCCC1,-7.886099815368652
COc1ccc(C[NH2+]CC[C@H](c2ccccc2)[C@@H]2CCOC(C)(C)C2)cc1,-7.537508964538574
CC(C)C[C@H](NC(=O)[C@H]1CC[C@H](C)CC1)C(=O)Nc1ccc2c(c1)OCCO2,-6.700521469116211
COC(=O)CCC/C=C1/SC[C@@H](NC(=O)c2ccccc2)[C@@H]1O,-6.917357444763184
Cc1ccc(-c2cn3c(n2)sc2cc(C(=O)NCCC4=CCCCC4)ccc23)cc1,-7.257193565368652
CCCC(=O)Nc1ccc(C(=O)NCCCn2ccnc2)cc1,-7.080131530761719
CCC[C@@H](C)NC(=O)[C@@H]1CC(=O)N(CCc2ccc(F)cc2)C1,-8.263594627380371
